SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
36.5129013062 -85.7796020508 16.35 56.7088707246 105.844284378 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
42.3012008667 -83.6567001343 18.35 51.3372196372 109.002522264 32.6800498962 -116.672149658 18.85 48.9705830746 81.3511602881
40.2318992615 -82.9820022583 19.25 53.5936873341 108.978874255 33.6551513672 -115.453659058 18.25 48.7404455161 82.7435705358
41.6492004395 -80.1447982788 19.65 52.6602036407 111.39876015 34.0005989075 -115.998199463 18.35 48.1954679697 82.5619431687
46.1002998352 -89.1369018555 17.35 46.388628241 106.215815715 33.4915008545 -116.666999817 18.65 48.2990933999 81.8149679705
47.0605010986 -88.5656967163 16.15 45.5411397231 106.863249907 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
46.3758010864 -86.9953994751 22.85 46.5370391495 107.719878137 32.8889007568 -117.105102539 18.75 48.5864924011 81.1702296091
46.3665008545 -84.3061981201 19.05 47.0304750004 109.521218214 33.5653991699 -116.737297058 18.55 48.2039480727 81.8086989655
45.7587013245 -88.1346969604 -29.95 46.936766261 106.790472688 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
45.0404014587 -85.6570968628 23.05 48.1502046618 108.28237795 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
44.8245010376 -84.6175003052 19.05 48.5649859466 108.943754577 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
44.4696998596 -87.770401001 18.45 48.306822039 106.680014904 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
44.0360984802 -86.2348022461 -29.95 49.0587845999 107.623517818 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
43.2382011414 -84.8214035034 19.15 50.1507789897 108.407228551 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
41.9438018799 -84.4328994751 -29.95 51.5487558272 108.353916699 35.3017692566 -116.805740356 16.25 46.7349906418 82.7527593438
41.4393005371 -80.6750030518 19.45 52.786720785 110.96470773 29.0197525024 -110.949302673 16.35 54.7599790524 83.5196418817
40.8801002502 -85.6941986084 17.15 52.3608153557 107.156861876 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
40.922000885 -84.1825027466 16.95 52.6411903177 108.271749333 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
40.1879997253 -84.3352966309 18.55 53.3549350691 107.966760652 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
35.6693992615 -82.8124008179 18.05 58.2744930446 107.906096419 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
